Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
pancreas,Raghavan2021,Y,1.0,1.0,1.0,0.505566,141282,145.85316825899645,00:02:25
pancreas,Steele2020,Y,0.7820671196211654,0.7722530094393341,0.7378516910190709,1.566792,474820,325.2639961629975,00:05:25
prostate,Chen2021,Y,0.4430046123435098,0.6102254775240556,0.3673706702166662,0.44337,129234,143.41634654899826,00:02:23
prostate,Dong2020,Y,0.2478865301521698,0.4793550492380921,0.1763884164678048,0.522846,152134,137.50428296900645,00:02:17
prostate,He2021,Y,0.5152073732718894,0.3262798634812286,0.4837828911152703,1.264602,376022,226.64087918199948,00:03:46
prostate,Song2022,Y,0.757025249505588,0.6376856508819524,0.6823148177695526,0.651075,188269,150.19971529800387,00:02:30
scarcoma,Jerby-Arnon2021,Y,0.125,0.05,0.21875,0.854892,254952,208.24853755599906,00:03:28
skin,Biermann2022,Y,0.3228592496331394,0.6653150772418234,0.3156488172750088,0.8613930000000001,258083,464.2443161530027,00:07:44
skin,Jerby-Arnon2018,Y,0.9572780406345672,0.8215519226341238,0.9374270357993282,2.374899,681417,716.2900607890042,00:11:56
skin,Ji2020,Y,0.7406776845776929,0.6749259022896196,0.6521954885390385,0.474432,142772,129.28391796999495,00:02:09
skin,Li2019,Y,0.6050474877450981,0.6,0.6050474877450981,0.669006,192590,351.0574694669922,00:05:51
skin,Paulson2020,Y,0.279449260581336,0.349367816091954,0.2130435884811291,0.784872,234820,244.4942853429966,00:04:04
skin,Tirosh2016,Y,0.8820236813778256,0.7171331636980492,0.8641621267772674,1.044975,307273,188.69521908799652,00:03:08
skin,Yost2019,Y,0.9524707132555728,0.6666666666666666,0.9524707132555728,1.21629,361474,326.207175937001,00:05:26
